cache_size,set_num,associativity,block_size,write_through,write_alloc,miss_rate
262144.0,1024.0,4.0,64.0,0.0,1.0,0.9961
262144.0,1024.0,4.0,64.0,1.0,0.0,0.9961
262144.0,2048.0,4.0,32.0,0.0,1.0,0.9963
262144.0,2048.0,4.0,32.0,1.0,0.0,0.9963
262144.0,4096.0,4.0,16.0,0.0,1.0,0.9965
262144.0,4096.0,4.0,16.0,1.0,0.0,0.9965
262144.0,256.0,8.0,128.0,0.0,1.0,0.6307
262144.0,256.0,8.0,128.0,1.0,0.0,0.6307
262144.0,512.0,8.0,64.0,0.0,1.0,0.996
262144.0,512.0,8.0,64.0,1.0,0.0,0.996
262144.0,1024.0,8.0,32.0,0.0,1.0,0.9962
262144.0,1024.0,8.0,32.0,1.0,0.0,0.9962
262144.0,2048.0,8.0,16.0,0.0,1.0,0.9964
262144.0,2048.0,8.0,16.0,1.0,0.0,0.9964
262144.0,128.0,16.0,128.0,0.0,1.0,0.6348
262144.0,128.0,16.0,128.0,1.0,0.0,0.6348
262144.0,256.0,16.0,64.0,0.0,1.0,0.9959
262144.0,256.0,16.0,64.0,1.0,0.0,0.9959
262144.0,512.0,16.0,32.0,0.0,1.0,0.9961
262144.0,512.0,16.0,32.0,1.0,0.0,0.9961
262144.0,1024.0,16.0,16.0,0.0,1.0,0.9963
262144.0,1024.0,16.0,16.0,1.0,0.0,0.9963
262144.0,64.0,32.0,128.0,0.0,1.0,0.6348
262144.0,64.0,32.0,128.0,1.0,0.0,0.6348
262144.0,128.0,32.0,64.0,0.0,1.0,0.9956
262144.0,128.0,32.0,64.0,1.0,0.0,0.9956
262144.0,256.0,32.0,32.0,0.0,1.0,0.9958
262144.0,256.0,32.0,32.0,1.0,0.0,0.9958
262144.0,512.0,32.0,16.0,0.0,1.0,0.996
262144.0,512.0,32.0,16.0,1.0,0.0,0.996
524288.0,4096.0,1.0,128.0,0.0,1.0,0.5979
524288.0,4096.0,1.0,128.0,1.0,0.0,0.5979
524288.0,8192.0,1.0,64.0,0.0,1.0,0.9962
524288.0,8192.0,1.0,64.0,1.0,0.0,0.9962
524288.0,16384.0,1.0,32.0,0.0,1.0,0.9964
524288.0,16384.0,1.0,32.0,1.0,0.0,0.9964
524288.0,32768.0,1.0,16.0,0.0,1.0,0.9966
524288.0,32768.0,1.0,16.0,1.0,0.0,0.9966
524288.0,2048.0,2.0,128.0,0.0,1.0,0.5849
524288.0,2048.0,2.0,128.0,1.0,0.0,0.5849
524288.0,4096.0,2.0,64.0,0.0,1.0,0.9962
524288.0,4096.0,2.0,64.0,1.0,0.0,0.9962
524288.0,8192.0,2.0,32.0,0.0,1.0,0.9964
524288.0,8192.0,2.0,32.0,1.0,0.0,0.9964
524288.0,16384.0,2.0,16.0,0.0,1.0,0.9966
524288.0,16384.0,2.0,16.0,1.0,0.0,0.9966
524288.0,1024.0,4.0,128.0,0.0,1.0,0.5921
524288.0,1024.0,4.0,128.0,1.0,0.0,0.5921
524288.0,2048.0,4.0,64.0,0.0,1.0,0.9961
524288.0,2048.0,4.0,64.0,1.0,0.0,0.9961
524288.0,4096.0,4.0,32.0,0.0,1.0,0.9963
524288.0,4096.0,4.0,32.0,1.0,0.0,0.9963
524288.0,8192.0,4.0,16.0,0.0,1.0,0.9965
524288.0,8192.0,4.0,16.0,1.0,0.0,0.9965
524288.0,512.0,8.0,128.0,0.0,1.0,0.5771
524288.0,512.0,8.0,128.0,1.0,0.0,0.5771
524288.0,1024.0,8.0,64.0,0.0,1.0,0.996
524288.0,1024.0,8.0,64.0,1.0,0.0,0.996
524288.0,2048.0,8.0,32.0,0.0,1.0,0.9962
524288.0,2048.0,8.0,32.0,1.0,0.0,0.9962
524288.0,4096.0,8.0,16.0,0.0,1.0,0.9964
524288.0,4096.0,8.0,16.0,1.0,0.0,0.9964
524288.0,256.0,16.0,128.0,0.0,1.0,0.5737
524288.0,256.0,16.0,128.0,1.0,0.0,0.5737
524288.0,512.0,16.0,64.0,0.0,1.0,0.9956
524288.0,512.0,16.0,64.0,1.0,0.0,0.9956
524288.0,1024.0,16.0,32.0,0.0,1.0,0.9958
524288.0,1024.0,16.0,32.0,1.0,0.0,0.9958
524288.0,2048.0,16.0,16.0,0.0,1.0,0.996
524288.0,2048.0,16.0,16.0,1.0,0.0,0.996
524288.0,128.0,32.0,128.0,0.0,1.0,0.5683
524288.0,128.0,32.0,128.0,1.0,0.0,0.5683
524288.0,256.0,32.0,64.0,0.0,1.0,0.9953
524288.0,256.0,32.0,64.0,1.0,0.0,0.9953
524288.0,512.0,32.0,32.0,0.0,1.0,0.9956
524288.0,512.0,32.0,32.0,1.0,0.0,0.9956
524288.0,1024.0,32.0,16.0,0.0,1.0,0.9958
524288.0,1024.0,32.0,16.0,1.0,0.0,0.9958
1048576.0,8192.0,1.0,128.0,0.0,1.0,0.5868
1048576.0,8192.0,1.0,128.0,1.0,0.0,0.5868
1048576.0,16384.0,1.0,64.0,0.0,1.0,0.9962
1048576.0,16384.0,1.0,64.0,1.0,0.0,0.9962
1048576.0,32768.0,1.0,32.0,0.0,1.0,0.9964
1048576.0,32768.0,1.0,32.0,1.0,0.0,0.9964
1048576.0,65536.0,1.0,16.0,0.0,1.0,0.9966
1048576.0,65536.0,1.0,16.0,1.0,0.0,0.9966
1048576.0,4096.0,2.0,128.0,0.0,1.0,0.5527
1048576.0,4096.0,2.0,128.0,1.0,0.0,0.5527
1048576.0,8192.0,2.0,64.0,0.0,1.0,0.9954
