cache_size,set_num,associativity,block_size,write_through,write_alloc,latency,miss_rate
2097152,2048,32,32,0,1,1025300,0.9953
2097152,2048,32,32,1,0,1028800,0.9971
2097152,4096,32,16,0,1,1025500,0.9955
2097152,4096,32,16,1,0,1028800,0.9971
4194304,8192,1,512,0,1,473500,0.3454
4194304,8192,1,512,1,0,618000,0.5857
4194304,16384,1,256,0,1,434600,0.3574
4194304,16384,1,256,1,0,682000,0.6497
4194304,32768,1,128,0,1,638300,0.5636
4194304,32768,1,128,1,0,802400,0.7701
4194304,65536,1,64,0,1,1094600,0.9951
4194304,65536,1,64,1,0,1028800,0.9965
4194304,131072,1,32,0,1,1094800,0.9953
4194304,131072,1,32,1,0,1028800,0.9971
4194304,262144,1,16,0,1,1095000,0.9955
4194304,262144,1,16,1,0,1028800,0.9971
4194304,4096,2,512,0,1,206600,0.1752
4194304,4096,2,512,1,0,618000,0.5857
4194304,8192,2,256,0,1,336500,0.3048
4194304,8192,2,256,1,0,682000,0.6497
4194304,16384,2,128,0,1,580100,0.5476
4194304,16384,2,128,1,0,802400,0.7701
4194304,32768,2,64,0,1,1029200,0.995
4194304,32768,2,64,1,0,1028800,0.9965
4194304,65536,2,32,0,1,1029500,0.9953
4194304,65536,2,32,1,0,1028800,0.9971
4194304,131072,2,16,0,1,1029700,0.9955
4194304,131072,2,16,1,0,1028800,0.9971
4194304,2048,4,512,0,1,204800,0.1748
4194304,2048,4,512,1,0,618000,0.5857
4194304,4096,4,256,0,1,334600,0.3046
4194304,4096,4,256,1,0,682000,0.6497
4194304,8192,4,128,0,1,577500,0.5475
4194304,8192,4,128,1,0,802400,0.7701
4194304,16384,4,64,0,1,1025000,0.995
4194304,16384,4,64,1,0,1028800,0.9965
4194304,32768,4,32,0,1,1025300,0.9953
4194304,32768,4,32,1,0,1028800,0.9971
4194304,65536,4,16,0,1,1025500,0.9955
4194304,65536,4,16,1,0,1028800,0.9971
4194304,1024,8,512,0,1,204800,0.1748
4194304,1024,8,512,1,0,618000,0.5857
4194304,2048,8,256,0,1,334600,0.3046
4194304,2048,8,256,1,0,682000,0.6497
4194304,4096,8,128,0,1,577500,0.5475
4194304,4096,8,128,1,0,802400,0.7701
4194304,8192,8,64,0,1,1025000,0.995
4194304,8192,8,64,1,0,1028800,0.9965
4194304,16384,8,32,0,1,1025300,0.9953
4194304,16384,8,32,1,0,1028800,0.9971
4194304,32768,8,16,0,1,1025500,0.9955
4194304,32768,8,16,1,0,1028800,0.9971
4194304,512,16,512,0,1,204800,0.1748
4194304,512,16,512,1,0,618000,0.5857
4194304,1024,16,256,0,1,334600,0.3046
4194304,1024,16,256,1,0,682000,0.6497
4194304,2048,16,128,0,1,577500,0.5475
4194304,2048,16,128,1,0,802400,0.7701
4194304,4096,16,64,0,1,1025000,0.995
4194304,4096,16,64,1,0,1028800,0.9965
4194304,8192,16,32,0,1,1025300,0.9953
4194304,8192,16,32,1,0,1028800,0.9971
4194304,16384,16,16,0,1,1025500,0.9955
4194304,16384,16,16,1,0,1028800,0.9971
4194304,256,32,512,0,1,204800,0.1748
4194304,256,32,512,1,0,618000,0.5857
4194304,512,32,256,0,1,334600,0.3046
4194304,512,32,256,1,0,682000,0.6497
4194304,1024,32,128,0,1,577500,0.5475
4194304,1024,32,128,1,0,802400,0.7701
4194304,2048,32,64,0,1,1025000,0.995
4194304,2048,32,64,1,0,1028800,0.9965
4194304,4096,32,32,0,1,1025300,0.9953
4194304,4096,32,32,1,0,1028800,0.9971
4194304,8192,32,16,0,1,1025500,0.9955
4194304,8192,32,16,1,0,1028800,0.9971
8388608,16384,1,512,0,1,205300,0.1749
8388608,16384,1,512,1,0,618000,0.5857
8388608,32768,1,256,0,1,334900,0.3047
8388608,32768,1,256,1,0,682000,0.6497
8388608,65536,1,128,0,1,577800,0.5476
8388608,65536,1,128,1,0,802400,0.7701
8388608,131072,1,64,0,1,1025300,0.9951
8388608,131072,1,64,1,0,1028800,0.9965
8388608,262144,1,32,0,1,1025500,0.9953
8388608,262144,1,32,1,0,1028800,0.9971
8388608,524288,1,16,0,1,1025700,0.9955
8388608,524288,1,16,1,0,1028800,0.9971
8388608,8192,2,512,0,1,206300,0.1752
8388608,8192,2,512,1,0,618000,0.5857
8388608,16384,2,256,0,1,336100,0.3048
8388608,16384,2,256,1,0,682000,0.6497
8388608,32768,2,128,0,1,579800,0.5476
8388608,32768,2,128,1,0,802400,0.7701
8388608,65536,2,64,0,1,1028800,0.995
8388608,65536,2,64,1,0,1028800,0.9965
8388608,131072,2,32,0,1,1029100,0.9953
8388608,131072,2,32,1,0,1028800,0.9971
8388608,262144,2,16,0,1,1029300,0.9955
8388608,262144,2,16,1,0,1028800,0.9971
8388608,4096,4,512,0,1,204800,0.1748
8388608,4096,4,512,1,0,618000,0.5857
8388608,8192,4,256,0,1,334600,0.3046
8388608,8192,4,256,1,0,682000,0.6497
8388608,16384,4,128,0,1,577500,0.5475
8388608,16384,4,128,1,0,802400,0.7701
8388608,32768,4,64,0,1,1025000,0.995
8388608,32768,4,64,1,0,1028800,0.9965
8388608,65536,4,32,0,1,1025300,0.9953
8388608,65536,4,32,1,0,1028800,0.9971
8388608,131072,4,16,0,1,1025500,0.9955
8388608,131072,4,16,1,0,1028800,0.9971
8388608,2048,8,512,0,1,204800,0.1748
8388608,2048,8,512,1,0,618000,0.5857
8388608,4096,8,256,0,1,334600,0.3046
8388608,4096,8,256,1,0,682000,0.6497
8388608,8192,8,128,0,1,577500,0.5475
8388608,8192,8,128,1,0,802400,0.7701
8388608,16384,8,64,0,1,1025000,0.995
8388608,16384,8,64,1,0,1028800,0.9965
